bids_name,fd_mean,fd_perc,fd_num
sub-122_task-choose_run-09_bold,0.489220729,82.30769231,107
sub-122_task-gonogo_run-01_bold,0.285224687,41,41
sub-122_task-gonogo_run-02_bold,0.336918552,71,71
sub-122_task-switch_bold,0.348067076,63.68421053,121
sub-123_task-choose_run-01_bold,0.13986591,11.53846154,15
sub-123_task-choose_run-02_bold,0.118998778,6.201550388,8
sub-123_task-choose_run-03_bold,0.106689358,3.875968992,5
sub-123_task-choose_run-04_bold,0.12844713,13.07692308,17
sub-123_task-choose_run-05_bold,0.157361763,24.80620155,32
sub-123_task-choose_run-06_bold,0.142018142,18.46153846,24
sub-123_task-choose_run-07_bold,0.179037435,35.38461538,46
sub-123_task-choose_run-08_bold,0.166519558,30,39
sub-123_task-choose_run-09_bold,0.189186043,40.76923077,53
sub-123_task-gonogo_run-01_bold,0.097475085,7.142857143,7
sub-123_task-gonogo_run-02_bold,0.080622728,0,0
sub-123_task-switch_bold,0.104935312,6.349206349,12
sub-124_task-choose_run-01_bold,0.077492457,1.550387597,2
sub-124_task-choose_run-02_bold,0.081286417,2.307692308,3
sub-124_task-choose_run-03_bold,0.089870895,3.076923077,4
sub-124_task-choose_run-04_bold,0.087301529,0,0
sub-124_task-choose_run-05_bold,0.085589858,3.076923077,4
sub-124_task-choose_run-06_bold,0.097686906,4.615384615,6
sub-124_task-choose_run-07_bold,0.079744088,3.100775194,4
sub-124_task-choose_run-08_bold,0.092570113,6.153846154,8
sub-124_task-choose_run-09_bold,0.08911194,3.846153846,5
sub-124_task-gonogo_run-01_bold,0.057127826,0,0
sub-124_task-gonogo_run-02_bold,0.097738925,5,5
sub-124_task-switch_bold,0.057119673,0,0
sub-125_task-choose_run-01_bold,0.202441462,26.15384615,34
sub-125_task-choose_run-02_bold,0.184458204,27.69230769,36
sub-125_task-choose_run-03_bold,0.216323071,40,52
sub-125_task-choose_run-04_bold,0.140816956,16.92307692,22
sub-125_task-choose_run-05_bold,0.156598928,23.07692308,30
sub-125_task-choose_run-06_bold,0.159454377,23.07692308,30
sub-125_task-choose_run-07_bold,0.154473046,23.84615385,31
sub-125_task-choose_run-08_bold,0.170330097,21.70542636,28
sub-125_task-choose_run-09_bold,0.139705298,10,13
sub-125_task-gonogo_run-01_bold,0.083873456,7,7
sub-125_task-gonogo_run-02_bold,0.084178339,5,5
sub-125_task-switch_bold,0.115379516,8.947368421,17
sub-126_task-choose_run-01_bold,0.10791499,6.97674419,9
sub-126_task-choose_run-02_bold,0.06747627,0.76923077,1
sub-126_task-choose_run-03_bold,0.06545485,0.7751938,1
sub-126_task-choose_run-04_bold,0.06038222,0,0
sub-126_task-choose_run-05_bold,0.06504677,0,0
sub-126_task-choose_run-06_bold,0.06891826,0,0
sub-126_task-choose_run-07_bold,0.07536036,1.53846154,2
sub-126_task-choose_run-08_bold,0.07461877,0,0
sub-126_task-choose_run-09_bold,0.0855925,0.7751938,1
sub-126_task-gonogo_run-01_bold,0.06661108,2.02020202,2
sub-126_task-gonogo_run-02_bold,0.04798049,0,0
sub-126_task-switch_bold,0.06185531,0.52910053,1
sub-127_task-choose_run-01_bold,0.26011805,63.0769231,82
sub-127_task-choose_run-02_bold,0.30677027,72.3076923,94
sub-127_task-choose_run-03_bold,0.26391328,55.3846154,72
sub-127_task-choose_run-04_bold,0.34894125,73.0769231,95
sub-127_task-choose_run-05_bold,0.28752023,60.7692308,79
sub-127_task-choose_run-06_bold,0.31465266,66.9230769,87
sub-127_task-choose_run-07_bold,0.34719901,75.3846154,98
sub-127_task-choose_run-08_bold,0.33495041,72.3076923,94
sub-127_task-choose_run-09_bold,0.30726286,63.8461538,83
sub-127_task-gonogo_run-01_bold,0.2573307,66,66
sub-127_task-gonogo_run-02_bold,0.32995629,70,70
sub-127_task-switch_bold,0.24714716,60.8465608,115
sub-128_task-choose_run-01_bold,0.15418736,26.9230769,35
sub-128_task-choose_run-02_bold,0.16685232,23.8461538,31
sub-128_task-choose_run-03_bold,0.16899015,32.5581395,42
sub-128_task-choose_run-04_bold,0.17853597,31.0077519,40
sub-128_task-choose_run-05_bold,0.19541046,36.1538462,47
sub-128_task-choose_run-06_bold,0.22351567,42.3076923,55
sub-128_task-choose_run-07_bold,0.15766987,29.2307692,38
sub-128_task-choose_run-08_bold,0.18316618,35.3846154,46
sub-128_task-choose_run-09_bold,0.17977186,35.9375,46
sub-128_task-gonogo_run-01_bold,0.19876224,22.2222222,22
sub-128_task-gonogo_run-02_bold,0.13351234,17,17
sub-128_task-switch_bold,0.15405125,22.1052632,42
sub-129_task-choose_run-01_bold,0.04038524,0,0
sub-129_task-choose_run-02_bold,0.04214819,1.53846154,2
sub-129_task-choose_run-03_bold,0.03810154,0.7751938,1
sub-129_task-choose_run-04_bold,0.05495999,3.07692308,4
sub-129_task-choose_run-05_bold,0.05672445,3.84615385,5
sub-129_task-choose_run-06_bold,0.05699798,3.84615385,5
sub-129_task-choose_run-07_bold,0.0595411,3.07692308,4
sub-129_task-choose_run-08_bold,0.06594583,7.69230769,10
sub-129_task-choose_run-09_bold,0.0848639,9.23076923,12
sub-129_task-gonogo_run-01_bold,0.11466297,13,13
sub-129_task-gonogo_run-02_bold,0.11519103,11,11
sub-129_task-switch_bold,0.04528656,0.52910053,1
sub-130_task-choose_run-01_bold,0.0904091,2.30769231,3
sub-130_task-choose_run-02_bold,0.104871,6.15384615,8
sub-130_task-choose_run-03_bold,0.11132703,8.59375,11
sub-130_task-choose_run-04_bold,0.1218554,8.46153846,11
sub-130_task-choose_run-05_bold,0.0909499,1.53846154,2
sub-130_task-choose_run-06_bold,0.10627166,6.97674419,9
sub-130_task-choose_run-07_bold,0.12265598,8.46153846,11
sub-130_task-choose_run-08_bold,0.12050646,7.69230769,10
sub-130_task-choose_run-09_bold,0.10746144,3.87596899,5
sub-130_task-gonogo_run-01_bold,0.04915004,0,0
sub-130_task-gonogo_run-02_bold,0.07024193,6.18556701,6
sub-130_task-switch_bold,0.06457809,3.15789474,6
sub-131_task-choose_run-01_bold,0.09865974,6.92307692,9
sub-131_task-choose_run-02_bold,0.12220925,14.84375,19
sub-131_task-choose_run-03_bold,0.05741544,0,0
sub-131_task-choose_run-04_bold,0.0716661,4.61538462,6
sub-131_task-choose_run-05_bold,0.08805793,5.38461538,7
sub-131_task-choose_run-06_bold,0.09249835,6.92307692,9
sub-131_task-choose_run-07_bold,0.08777646,6.92307692,9
sub-131_task-choose_run-08_bold,0.09832266,6.15384615,8
sub-131_task-choose_run-09_bold,0.10656834,12.3076923,16
sub-131_task-gonogo_run-01_bold,0.08437815,5.10204082,5
sub-131_task-gonogo_run-02_bold,0.08218211,2.04081633,2
sub-131_task-switch_bold,0.10294208,7.36842105,14
sub-132_task-choose_run-01_bold,0.06977778,0,0
sub-132_task-choose_run-02_bold,0.06203206,0.76923077,1
sub-132_task-choose_run-03_bold,0.06110445,0.76923077,1
sub-132_task-choose_run-04_bold,0.09074635,6.92307692,9
sub-132_task-choose_run-05_bold,0.07282096,0.7751938,1
sub-132_task-choose_run-06_bold,0.11308784,12.3076923,16
sub-132_task-choose_run-07_bold,0.08408538,3.84615385,5
sub-132_task-choose_run-08_bold,0.11656491,3.07692308,4
sub-132_task-choose_run-09_bold,0.07856819,2.3255814,3
sub-133_task-choose_run-01_bold,0.06726548,0.76923077,1
sub-133_task-choose_run-02_bold,0.07564106,0,0
sub-133_task-choose_run-03_bold,0.06961575,0,0
sub-133_task-choose_run-04_bold,0.06727917,0,0
sub-133_task-choose_run-05_bold,0.0668022,1.53846154,2
sub-133_task-choose_run-06_bold,0.06479655,0.76923077,1
sub-133_task-choose_run-07_bold,0.06794295,0,0
sub-133_task-choose_run-08_bold,0.07135872,0.76923077,1
sub-133_task-choose_run-09_bold,0.06540051,1.53846154,2
sub-133_task-gonogo_run-01_bold,0.0672999,0,0
sub-133_task-gonogo_run-02_bold,0.06905245,1,1
sub-133_task-switch_bold,0.0836291,3.68421053,7
sub-134_task-choose_run-01_bold,0.08551153,1.53846154,2
sub-134_task-choose_run-02_bold,0.09506693,5.42635659,7
sub-134_task-choose_run-03_bold,0.10837389,4.61538462,6
sub-134_task-choose_run-04_bold,0.09889619,5.38461538,7
sub-134_task-choose_run-05_bold,0.12182231,13.0769231,17
sub-134_task-choose_run-06_bold,0.09288662,3.07692308,4
sub-134_task-choose_run-07_bold,0.11178085,10,13
sub-134_task-choose_run-08_bold,0.13569142,13.0769231,17
sub-134_task-choose_run-09_bold,0.1639898,20.7692308,27
sub-134_task-gonogo_run-01_bold,0.07959267,6,6
sub-134_task-gonogo_run-02_bold,0.06890176,0,0
sub-134_task-switch_bold,0.13121013,14.2105263,27
sub-135_task-choose_run-01_bold,0.08928212,0.7751938,1
sub-135_task-choose_run-02_bold,0.09314278,1.5503876,2
sub-135_task-choose_run-03_bold,0.09104016,3.07692308,4
sub-135_task-choose_run-04_bold,0.0953218,1.5503876,2
sub-135_task-choose_run-05_bold,0.10641866,6.15384615,8
sub-135_task-choose_run-06_bold,0.10965592,8.46153846,11
sub-135_task-choose_run-07_bold,0.11407923,8.46153846,11
sub-135_task-choose_run-08_bold,0.092004,0.7751938,1
sub-135_task-choose_run-09_bold,0.09938267,6.92307692,9
sub-135_task-gonogo_run-01_bold,0.09560576,4.04040404,4
sub-135_task-gonogo_run-02_bold,0.08535358,0,0
sub-135_task-switch_bold,0.10736994,9.04255319,17
sub-136_task-choose_run-01_bold,0.06001154,0.76923077,1
sub-136_task-choose_run-02_bold,0.06234809,0,0
sub-136_task-choose_run-03_bold,0.07003228,0,0
sub-136_task-choose_run-04_bold,0.07019737,0.76923077,1
sub-136_task-choose_run-05_bold,0.07887347,0,0
sub-136_task-choose_run-06_bold,0.08444815,0.76923077,1
sub-136_task-choose_run-07_bold,0.08309582,0.76923077,1
sub-136_task-choose_run-08_bold,0.09844393,5.38461538,7
sub-136_task-choose_run-09_bold,0.1159306,10,13
sub-136_task-gonogo_run-01_bold,0.06510692,0,0
sub-136_task-gonogo_run-02_bold,0.06442272,3,3
sub-136_task-switch_bold,0.08061968,2.10526316,4
