"","food","subj_idx","block","cond","resp","rt","pre_liking","post_liking","taste","health","healthy","tasty","pre_liking_c","post_liking_c","taste_c","health_c","response","post_pre","post_pre_c"
"472","Craisins_3_0.25c..jpg",102,7,"Decrease",1,0.769302290813357,1,2,3,3,"unhealthy","untasty",-2.53807106598985,-1.35032334330019,-0.682706348654475,-0.332522077741464,0,1,1.18774772268966
"473","ChipsAhoy_2_.5cookie.jpg",102,7,"Decrease",1,0.936871431724285,3,1,1,3,"unhealthy","untasty",-0.538071065989848,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,-2,-1.81225227731034
"474","ChipsAhoy_4_2cookies.jpg",102,7,"Decrease",1,1.40931823429491,1,1,2,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-1.68270634865447,-2.33252207774146,0,0,0.18774772268966
"475","Strawberries_2_0.5c.jpg",102,7,"Decrease",1,1.38410254415066,1,1,1,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-0.332522077741464,0,0,0.18774772268966
"476","GreenPepper_2_2pc.jpg",102,7,"Decrease",2,1.22670774221842,1,2,1,4,"healthy","untasty",-2.53807106598985,-1.35032334330019,-2.68270634865447,0.667477922258536,0,1,1.18774772268966
"477","BabyFoodSweetPotatos_2_2T.jpg",102,7,"Decrease",1,0.785181519688194,1,3,1,5,"healthy","untasty",-2.53807106598985,-0.350323343300188,-2.68270634865447,1.66747792225854,0,2,2.18774772268966
"478","Skittles_6_0.75pack.jpg",102,7,"Decrease",1,0.575989594239218,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"479","Twix_2_2Bars.jpg",102,8,"Natural",1,0.643929111400212,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"480","PureFit_2_0.5Bars.jpg",102,8,"Natural",1,0.466172319673205,1,1,3,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-0.682706348654475,-0.332522077741464,0,0,0.18774772268966
"481","NatureValleyChocolate_4_2bars.jpg",102,8,"Natural",1,0.384497547292995,1,1,1,1,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-2.68270634865447,-2.33252207774146,0,0,0.18774772268966
"482","MiniWheats_2_3pieces.jpg",102,8,"Natural",1,0.857265881917556,1,1,3,3,"unhealthy","untasty",-2.53807106598985,-2.35032334330019,-0.682706348654475,-0.332522077741464,0,0,0.18774772268966
